instruction_type,instruction_args,timeout,xy_type,x_setpoint,y_setpoint,z_type,z_setpoint,yaw_type,yaw_setpoint,coordinate_frame
pos,,5,pos,0,0,pos,2,pos,0,1
hold,,5,vel,1,0,pos,2,pos,0,8
hold,,5,vel,0,1,pos,2,pos,0,8
pos,,5,pos,0,0,pos,2,pos,0,1
pos,,3,pos,0,0,pos,0,pos,0,1
